feature_1,class
-32.61677,glioma
-20.729553,glioma
-27.04464,glioma
-33.18048,glioma
-37.062004,glioma
-40.812286,glioma
-13.643793,glioma
-26.804188,glioma
-40.96631,glioma
-40.12123,glioma
-15.574607,glioma
-20.85033,glioma
-10.948644,glioma
-16.343775,glioma
-15.22814,glioma
-20.983904,glioma
-16.937975,glioma
-37.507267,glioma
-42.186863,glioma
-12.373898,glioma
-6.3887243,glioma
-15.242453,glioma
-13.191758,glioma
-12.475555,glioma
-16.224314,glioma
-16.672955,glioma
-17.784246,glioma
-11.593998,glioma
-10.5512905,glioma
-12.837538,glioma
-11.438481,glioma
-10.675506,glioma
-4.369461,glioma
-23.201801,glioma
-23.943052,glioma
-19.788387,glioma
-19.137793,glioma
-14.036456,glioma
-10.102587,glioma
-17.885008,glioma
-24.408264,glioma
-25.961535,glioma
-13.871393,glioma
-13.814078,glioma
-13.039456,glioma
-20.691002,glioma
-12.813129,glioma
-13.709321,glioma
-1.2367972,glioma
-10.751596,glioma
-12.13388,glioma
-9.683975,glioma
-19.490093,glioma
-15.544356,glioma
-43.470444,glioma
-27.242823,glioma
-25.774656,glioma
-11.993324,glioma
-15.135705,glioma
-7.52637,glioma
2.1051567,glioma
2.1764238,glioma
-8.559893,glioma
-1.9487765,glioma
-1.0686241,glioma
-10.924824,glioma
-3.7021985,glioma
-6.062317,glioma
-7.3474,glioma
-16.911974,glioma
0.27130312,glioma
19.99142,glioma
-7.3980527,glioma
0.25149277,glioma
-2.6526277,glioma
-28.066504,glioma
-10.108914,glioma
-13.5201435,glioma
4.0238643,glioma
5.986121,glioma
6.830065,glioma
-10.788837,glioma
-3.8294022,glioma
-5.0189347,glioma
-7.235306,glioma
-5.077069,glioma
1.2287667,glioma
3.5138464,glioma
-32.1403,glioma
-36.646004,glioma
-5.596872,glioma
6.625957,glioma
14.362081,glioma
14.899784,glioma
15.423209,glioma
-2.4707072,glioma
20.003422,glioma
-4.1907363,glioma
0.07736893,glioma
4.9363995,glioma
8.459713,glioma
-36.362877,glioma
-47.30635,glioma
-17.756042,glioma
-14.340729,glioma
-6.07929,glioma
-23.529108,glioma
-15.512655,glioma
-8.36674,glioma
5.4874096,glioma
-3.3380604,glioma
-9.67596,glioma
16.010765,glioma
11.72628,glioma
11.448672,glioma
11.954078,glioma
12.582988,glioma
3.9194076,glioma
4.908013,glioma
8.765417,glioma
-17.415815,glioma
-18.69868,glioma
-19.23962,glioma
-29.429026,glioma
-2.9571414,glioma
12.198171,glioma
8.923636,glioma
-39.636726,glioma
-29.038162,glioma
-29.636683,glioma
-33.517586,glioma
-37.821976,glioma
-37.574177,glioma
-52.775185,glioma
-48.551903,glioma
-47.073936,glioma
-33.897438,glioma
-32.796085,glioma
-28.804884,glioma
-32.14149,glioma
-31.98845,glioma
-30.125568,glioma
-32.168453,glioma
-31.852371,glioma
-30.222008,glioma
-29.323313,glioma
-29.644867,glioma
-29.77969,glioma
-37.455513,glioma
-35.250034,glioma
-34.607853,glioma
-32.07468,glioma
-34.1633,glioma
-31.72878,glioma
-41.702103,glioma
-34.88584,glioma
-41.086937,glioma
-25.592539,glioma
-36.224308,glioma
-45.94866,glioma
-44.17327,glioma
-40.385918,glioma
-39.59205,glioma
-39.55725,glioma
-40.779976,glioma
-52.117634,glioma
-51.3474,glioma
-28.572624,glioma
-29.555504,glioma
-31.012432,glioma
-32.00001,glioma
-33.34372,glioma
-21.173824,meningioma
-18.997293,meningioma
-18.277388,meningioma
-23.909008,meningioma
-19.120546,meningioma
-20.900986,meningioma
-32.077785,meningioma
-34.519253,meningioma
-33.387688,meningioma
-15.1585865,meningioma
-35.19164,meningioma
-31.756342,meningioma
-31.380959,meningioma
-28.126352,meningioma
-37.89907,meningioma
-40.945347,meningioma
-34.46542,meningioma
-11.06278,meningioma
-35.708755,meningioma
-31.807438,meningioma
-28.066322,meningioma
-37.916927,meningioma
-33.95778,meningioma
-6.105568,meningioma
-21.896893,meningioma
-26.005854,meningioma
-9.412221,meningioma
-40.398758,meningioma
-37.565945,meningioma
-35.55162,meningioma
-39.078968,meningioma
-35.58053,meningioma
-42.377403,meningioma
-27.180273,meningioma
-8.292722,meningioma
-30.259142,meningioma
-22.954212,meningioma
-35.494835,meningioma
-39.161133,meningioma
-35.27976,meningioma
-16.294382,meningioma
-21.209108,meningioma
-23.690456,meningioma
-9.190265,meningioma
-24.214779,meningioma
-26.318056,meningioma
-27.45578,meningioma
-13.574738,meningioma
-24.373806,meningioma
-30.364584,meningioma
-26.73898,meningioma
-12.694485,meningioma
-37.404335,meningioma
-35.6286,meningioma
-35.028584,meningioma
-32.91406,meningioma
-38.566097,meningioma
-26.050753,meningioma
-26.48977,meningioma
-27.466124,meningioma
-0.40302074,meningioma
-28.49067,meningioma
-30.43253,meningioma
